customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon
C9780,63.0,Male,9999999.0,32/13/2025,P0087,-5,401.52,Cash,False,,95.443613
C3141,39.0,Other,9999999.0,32/13/2025,P0080,-5,390.34,Cash,True,,-104.596269
C1137,33.0,Female,68243.78,32/13/2025,P0054,-5,999999.0,Online Wallet,True,85.676588,
C6050,36.0,Other,9999999.0,2025-01-29 00:00:00,P0047,-5,999999.0,Cash,True,-27.48663,
C3291,38.0,Unknown,9999999.0,2025-01-09 00:00:00,P0042,8,389.71,Cash,True,39.138414,92.582331
C9192,,Male,9999999.0,2025-03-28 00:00:00,P0059,-5,142.22,Online Wallet,False,-16.455405,-144.366285
C4060,,Other,49277.68,2025-03-06 00:00:00,P0028,2,647.64,Online Wallet,False,,152.839655
C3162,,Female,9999999.0,2025-01-17 00:00:00,P0044,-5,650.08,Crypt0,True,26.517399,
C9300,,Female,26436.37,32/13/2025,P0096,-5,999999.0,Cash,False,6.276387,
C5027,,Other,9999999.0,2025-01-27 00:00:00,P0009,2,536.67,Card,False,-25.647887,-34.517112
C6677,70.0,Unknown,104988.33,32/13/2025,P0080,-5,350.74,Online Wallet,True,-88.973434,-21.016684
C1241,38.0,Male,104033.32,32/13/2025,P0097,1,999999.0,Card,False,-54.490903,-59.922172
C2340,,Male,9999999.0,32/13/2025,P0065,6,894.52,Crypt0,True,,115.910014
C6529,40.0,Unknown,9999999.0,32/13/2025,P0021,1,994.32,Cash,True,,
C3776,,Female,63717.82,32/13/2025,P0053,1,426.04,Cash,True,-81.400966,-24.012479
C6565,,Unknown,9999999.0,32/13/2025,P0038,3,999999.0,Cash,False,,-131.144654
C4132,64.0,Male,9999999.0,2025-03-17 00:00:00,P0035,4,999999.0,Card,yes,,
C3927,44.0,Male,9999999.0,32/13/2025,P0033,-5,553.27,Crypt0,yes,,-157.572986
C8908,34.0,Other,9999999.0,32/13/2025,P0012,-5,519.21,Online Wallet,False,,-122.57217
C3683,,Male,34458.36,32/13/2025,P0043,-5,999999.0,Cash,True,86.11753,-58.928432
C9649,,Male,9999999.0,32/13/2025,P0049,-5,781.16,Online Wallet,False,,26.219507
C5062,,Other,9999999.0,2025-01-06 00:00:00,P0100,10,999999.0,Cash,yes,-73.498714,-143.880664
C9173,64.0,Male,9999999.0,2025-01-01 00:00:00,P0032,-5,58.99,Crypt0,yes,-53.23053,-52.42684
C4828,32.0,Other,77291.1,2025-03-23 00:00:00,P0081,3,999999.0,Crypt0,yes,-76.748606,175.885535
C8658,19.0,Male,112513.68,2025-03-22 00:00:00,P0066,-5,98.13,Card,True,,118.212623
C4939,,Male,71079.12,32/13/2025,P0073,-5,999999.0,Cash,yes,,-53.577307
C4041,,Unknown,9999999.0,2025-02-18 00:00:00,P0091,9,907.52,Online Wallet,yes,,91.194451
C4100,26.0,Unknown,9999999.0,2025-03-05 00:00:00,P0014,-5,341.54,Card,False,78.972896,
C5616,62.0,Other,9999999.0,2025-03-07 00:00:00,P0026,-5,999999.0,Online Wallet,yes,,
C4072,,Male,9999999.0,32/13/2025,P0099,4,999999.0,Crypt0,True,,19.959515
C5029,,Female,9999999.0,32/13/2025,P0066,-5,951.03,Cash,False,,-43.730263
C8650,36.0,Other,69372.28,32/13/2025,P0041,-5,236.36,Cash,yes,,
C3371,,Male,9999999.0,32/13/2025,P0062,9,948.34,Crypt0,False,,73.76439
C1516,51.0,Female,9999999.0,32/13/2025,P0100,-5,999999.0,Crypt0,yes,,
C6272,25.0,Female,32703.46,32/13/2025,P0052,2,151.76,Card,False,,-161.590603
C1636,,Other,31573.66,2025-01-18 00:00:00,P0042,9,687.37,Card,yes,,
C1007,,Other,9999999.0,32/13/2025,P0046,-5,550.55,Cash,False,41.586498,-178.625232
C9657,25.0,Male,64405.34,32/13/2025,P0037,-5,962.95,Cash,yes,-2.883846,
C8709,,Other,9999999.0,32/13/2025,P0098,-5,999999.0,Card,True,,
C2088,42.0,Unknown,35501.49,32/13/2025,P0086,-5,463.22,Cash,False,-22.134392,
C2419,66.0,Other,9999999.0,2025-02-03 00:00:00,P0007,10,999999.0,Card,yes,,
C2583,,Male,99684.45,32/13/2025,P0001,3,366.14,Cash,False,-24.662449,-121.178547
C8184,,Unknown,9999999.0,32/13/2025,P0043,-5,999999.0,Online Wallet,True,,
C1920,,Female,9999999.0,32/13/2025,P0073,8,999999.0,Cash,False,,
C1562,,Other,9999999.0,2025-03-16 00:00:00,P0082,10,762.38,Crypt0,True,,
C1213,52.0,Male,9999999.0,32/13/2025,P0013,-5,368.16,Cash,False,16.979463,
C6068,69.0,Unknown,9999999.0,2025-01-21 00:00:00,P0062,-5,373.38,Crypt0,False,70.451182,-47.405867
C6001,19.0,Unknown,9999999.0,2025-02-07 00:00:00,P0095,4,999999.0,Crypt0,yes,,
C2422,42.0,Male,9999999.0,32/13/2025,P0025,-5,999999.0,Online Wallet,False,-2.015541,
C5835,69.0,Female,9999999.0,32/13/2025,P0054,-5,999999.0,Crypt0,False,,36.456819
C6944,,Female,64569.16,2025-02-28 00:00:00,P0033,-5,999999.0,Online Wallet,False,,
C1381,46.0,Female,9999999.0,32/13/2025,P0015,5,999999.0,Crypt0,True,,17.780557
