customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon
C8895,70.0,Female,85813.33,32/13/2025,P0097,-5,311.27,Online Wallet,yes,,
C6786,,Male,26287.16,2025-07-15 00:00:00,P0090,3,999999.0,Cash,False,-10.994451,
C1529,,Unknown,9999999.0,2025-08-19 00:00:00,P0080,-5,999999.0,Crypt0,False,,
C8282,69.0,Male,72235.78,32/13/2025,P0033,-5,962.04,Card,yes,,-114.324044
C8238,,Other,9999999.0,2025-07-24 00:00:00,P0064,-5,699.94,Card,True,-80.027939,
C5957,19.0,Male,69267.57,2025-08-18 00:00:00,P0013,4,161.38,Card,yes,-44.145542,
C6422,,Male,9999999.0,2025-09-08 00:00:00,P0081,-5,999999.0,Crypt0,False,-1.854192,
C6290,27.0,Other,84306.55,2025-09-05 00:00:00,P0088,1,658.83,Cash,False,81.829361,-49.847302
C9116,,Female,9999999.0,32/13/2025,P0005,-5,214.93,Card,False,60.086472,
C8542,,Male,112712.26,2025-08-10 00:00:00,P0009,-5,691.3,Online Wallet,False,13.643939,-149.828366
C5916,,Other,9999999.0,32/13/2025,P0034,5,999999.0,Online Wallet,False,,
C9666,28.0,Female,9999999.0,32/13/2025,P0047,-5,999999.0,Card,True,-7.00322,-175.049755
C6896,19.0,Other,9999999.0,32/13/2025,P0060,3,493.95,Cash,yes,,
C9821,,Male,9999999.0,32/13/2025,P0050,-5,200.25,Online Wallet,True,,
C4404,,Unknown,9999999.0,2025-07-05 00:00:00,P0004,4,56.8,Online Wallet,False,,101.085677
C6965,,Male,9999999.0,32/13/2025,P0074,5,459.55,Cash,True,,119.082042
C9998,,Other,9999999.0,2025-07-26 00:00:00,P0024,6,35.8,Crypt0,True,-41.105494,
C2827,51.0,Other,9999999.0,32/13/2025,P0100,-5,273.35,Cash,True,,-93.446711
C4819,,Unknown,9999999.0,32/13/2025,P0082,6,999999.0,Card,False,,168.954655
C8592,,Other,9999999.0,32/13/2025,P0004,-5,999999.0,Online Wallet,False,,-4.936047
C8307,54.0,Male,65717.7,32/13/2025,P0021,7,736.23,Card,True,,
C1621,65.0,Male,116697.39,2025-09-21 00:00:00,P0098,5,999999.0,Crypt0,yes,,-57.057951
C5298,,Female,9999999.0,2025-07-18 00:00:00,P0037,-5,999999.0,Crypt0,False,82.154859,
C8030,,Other,9999999.0,2025-08-10 00:00:00,P0038,-5,999999.0,Cash,yes,,0.10099
C8691,,Male,69040.69,2025-09-23 00:00:00,P0079,2,959.19,Card,yes,,
