customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon,is_q1,is_q2,is_q3,inferred,upsampled
C1562,45.0,Other,69956.22,,P0088,5,156.64118914600976,Crypto,False,0.11357,10.863308,False,True,False,False,True
C8060,45.0,Other,69956.22,2025-01-15,P0038,-5,652.66,Online Wallet,False,0.11357,10.863308,True,False,False,False,False
C5662,56.0,Male,73919.25,2025-04-09,P0061,-5,323.2112105745421,Online Wallet,False,-82.599007,-17.260386,False,True,False,False,True
C6440,45.0,Female,69956.22,,P0066,3,357.36,Crypto,False,0.11357,10.863308,False,True,False,False,False
C6099,45.0,Male,69956.22,2025-03-06,P0040,2,214.72,Card,False,0.11357,10.863308,True,False,False,False,False
C2510,45.0,Female,69956.22,2025-03-17,P0004,-5,397.18000000000006,Card,False,0.11357,10.863308,True,False,False,True,False
C9711,45.0,Other,69956.22,2025-06-26,P0088,-5,291.97,Cash,True,0.11357,10.863308,False,True,False,False,False
C4186,45.0,Other,69956.22,2025-04-23,P0061,-5,524.4749999999999,Cash,False,0.11357,10.863308,False,True,False,True,False
C9295,45.0,Other,69956.22,2025-09-25,P0047,5,174.31859317999624,Card,True,0.11357,10.863308,False,False,True,False,True
C9047,45.0,Male,69956.22,2025-02-21,P0083,-5,643.3799999999999,Online Wallet,False,0.11357,10.863308,True,False,False,True,False
C5259,45.0,Other,69956.22,,P0100,3,126.86346913618702,Cash,False,0.11357,10.863308,False,True,False,False,True
C8184,45.0,Other,69956.22,,P0043,-5,535.06,Online Wallet,True,0.11357,10.863308,True,False,False,True,False
C2531,45.0,Male,69956.22,2025-05-02,P0031,3,234.92,Crypto,True,0.11357,10.863308,False,True,False,False,False
C8575,45.0,Male,69956.22,2025-04-13,P0025,-5,883.02,Crypto,True,0.11357,10.863308,False,True,False,False,False
C2214,45.0,Female,69956.22,2025-04-30,P0081,-5,144.16685276359516,Crypto,True,0.11357,10.863308,False,True,False,False,True
C5494,45.0,Male,69956.22,,P0014,-5,259.24964499461214,Crypto,True,0.11357,10.863308,True,False,False,False,True
C9389,45.0,Other,69956.22,2025-07-26,P0093,-5,657.65,Crypto,False,0.11357,10.863308,False,False,True,True,False
C7682,45.0,Female,69956.22,2025-02-09,P0084,-5,894.5279208286473,Card,True,0.11357,10.863308,True,False,False,False,True
C1478,45.0,Male,69956.22,2025-06-16,P0005,6,895.73,Card,True,0.11357,10.863308,False,True,False,False,False
C7798,45.0,Female,69956.22,,P0087,-5,293.63879185458757,Online Wallet,False,0.11357,10.863308,True,False,False,False,True
C6582,45.0,Other,69956.22,,P0082,-5,715.5133012000925,Crypto,True,0.11357,10.863308,False,True,False,False,True
C1148,45.0,Male,69956.22,2025-06-22,P0041,1,872.6008399843842,Crypto,False,0.11357,10.863308,False,True,False,False,True
C2164,45.0,Other,69956.22,,P0021,-5,543.19,Cash,True,0.11357,10.863308,False,False,True,True,False
C5907,45.0,Male,69956.22,,P0057,-5,217.618251156298,Crypto,True,0.11357,10.863308,True,False,False,False,True
C8293,45.0,Other,69956.22,,P0083,6,621.6157500000002,Cash,True,0.11357,10.863308,False,False,True,True,False
C1278,45.0,Other,69956.22,2025-03-02,P0010,-5,486.78,Cash,True,0.11357,10.863308,True,False,False,False,False
C8551,45.0,Other,69956.22,2025-06-08,P0022,8,1035.124822904204,Online Wallet,True,0.11357,10.863308,False,True,False,False,True
C2535,45.0,Male,69956.22,2025-07-30,P0069,5,765.0122969262383,Cash,True,0.11357,10.863308,False,False,True,False,True
C3557,45.0,Other,69956.22,,P0077,-5,170.24174878811718,Online Wallet,True,0.11357,10.863308,True,False,False,False,True
C6925,69.0,Other,106411.11,2025-06-03,P0002,-5,807.7347641230745,Cash,False,-29.10216,-0.135914,False,True,False,False,True
C5072,45.0,Other,69956.22,2025-03-18,P0010,7,846.1547420769651,Card,True,0.11357,10.863308,True,False,False,False,True
C5019,45.0,Male,69956.22,2025-03-31,P0043,10,1102.8777777777775,Card,True,0.11357,10.863308,True,False,False,True,False
C1852,45.0,Other,69956.22,2025-08-16,P0052,10,813.5277230471694,Cash,False,0.11357,10.863308,False,False,True,False,True
C4256,45.0,Other,69956.22,,P0012,-5,931.3196256441072,Crypto,True,0.11357,10.863308,False,False,True,False,True
C8017,22.0,Other,23255.79,2025-05-06,P0034,-5,717.4411295177131,Card,True,21.396708,-51.13674,False,True,False,False,True
C7615,47.0,Other,45468.92,2025-03-09,P0080,10,742.3791951523542,Cash,True,-8.733096,-147.608334,True,False,False,False,True
C8184,45.0,Other,69956.22,2025-05-17,P0007,-5,927.5359458649402,Card,True,0.11357,10.863308,False,True,False,False,True
C3196,45.0,Other,69956.22,2025-09-13,P0048,-5,862.01,Online Wallet,False,0.11357,10.863308,False,False,True,False,False
C1636,45.0,Other,69956.22,2025-01-18,P0042,9,705.586252204599,Card,True,0.11357,10.863308,True,False,False,False,True
C5279,45.0,Other,69956.22,,P0014,-5,692.33,Card,True,0.11357,10.863308,False,False,True,False,False
C2185,45.0,Other,69956.22,2025-08-30,P0078,5,205.62380154821645,Online Wallet,True,0.11357,10.863308,False,False,True,False,True
C4783,45.0,Other,69956.22,2025-05-25,P0041,-5,305.3,Card,True,0.11357,10.863308,False,True,False,False,False
C4953,45.0,Other,69956.22,2025-05-06,P0065,-5,990.58,Online Wallet,True,0.11357,10.863308,False,True,False,False,False
C4200,45.0,Male,69956.22,2025-02-02,P0003,-5,228.8430103460241,Crypto,True,0.11357,10.863308,True,False,False,False,True
C4536,45.0,Other,69956.22,,P0026,6,647.0,Crypto,False,0.11357,10.863308,False,False,True,False,False
C4713,45.0,Male,69956.22,2025-01-12,P0081,-5,587.31,Online Wallet,True,0.11357,10.863308,True,False,False,True,False
C4735,45.0,Other,69956.22,2025-01-15,P0046,-5,316.056179064892,Cash,False,0.11357,10.863308,True,False,False,False,True
C9776,45.0,Male,69956.22,,P0053,-5,459.12499999999994,Card,True,0.11357,10.863308,False,False,True,True,False
C5880,23.0,Female,68204.61,,P0047,-5,12.911989811269272,Online Wallet,True,-23.589721,178.727926,True,False,False,False,True
C8380,45.0,Other,69956.22,,P0093,3,228.885,Card,True,0.11357,10.863308,False,True,False,True,False
C8412,45.0,Female,69956.22,2025-07-10,P0066,-5,862.3649951739204,Online Wallet,True,0.11357,10.863308,False,False,True,False,True
C8216,45.0,Other,69956.22,2025-03-02,P0053,4,803.4069565234331,Cash,False,0.11357,10.863308,True,False,False,False,True
C8949,45.0,Other,69956.22,,P0034,5,626.0641666666667,Cash,True,0.11357,10.863308,False,True,False,True,False
C8136,45.0,Female,69956.22,2025-05-07,P0031,7,714.8467750168255,Card,True,0.11357,10.863308,False,True,False,False,True
C6925,69.0,Other,106411.11,2025-06-03,P0002,-5,760.3135335886446,Cash,False,-29.10216,-0.135914,False,True,False,False,True
C2887,45.0,Other,69956.22,2025-02-26,P0065,-5,531.545,Cash,True,0.11357,10.863308,True,False,False,True,False
C7611,45.0,Other,69956.22,2025-05-06,P0075,-5,532.54,Cash,False,0.11357,10.863308,False,True,False,True,False
C6989,45.0,Other,69956.22,2025-09-09,P0017,-5,503.8,Cash,False,0.11357,10.863308,False,False,True,True,False
C5091,45.0,Male,69956.22,2025-04-24,P0093,-5,683.5368702277614,Crypto,True,0.11357,10.863308,False,True,False,False,True
C6812,45.0,Other,69956.22,2025-06-28,P0070,-5,525.0,Online Wallet,True,0.11357,10.863308,False,True,False,True,False
C3882,45.0,Other,69956.22,2025-08-07,P0049,5,786.054054508258,Cash,False,0.11357,10.863308,False,False,True,False,True
C4792,45.0,Female,69956.22,2025-03-28,P0047,-5,643.3893039979354,Card,False,0.11357,10.863308,True,False,False,False,True
C6554,45.0,Male,69956.22,2025-08-25,P0001,2,235.33685797527036,Card,True,0.11357,10.863308,False,False,True,False,True
C9725,45.0,Female,69956.22,2025-02-08,P0035,3,121.9271758738106,Cash,True,0.11357,10.863308,True,False,False,False,True
C3240,52.0,Other,46513.96,2025-03-13,P0094,-5,239.74,Card,True,37.244618,-28.738458,True,False,False,False,False
C5260,45.0,Other,69956.22,2025-04-01,P0004,-5,154.6200157639433,Crypto,True,0.11357,10.863308,False,True,False,False,True
C4217,45.0,Other,69956.22,,P0019,-5,21.60572141201443,Cash,True,0.11357,10.863308,False,False,True,False,True
C5394,45.0,Other,69956.22,2025-06-10,P0003,6,658.9004395002424,Online Wallet,True,0.11357,10.863308,False,True,False,False,True
C8991,45.0,Female,69956.22,,P0096,9,747.7718608605411,Cash,True,0.11357,10.863308,False,False,True,False,True
C6265,45.0,Female,69956.22,,P0033,3,236.0528571428571,Card,False,0.11357,10.863308,False,True,False,True,False
C4693,45.0,Female,69956.22,,P0097,-5,742.736482269204,Card,True,0.11357,10.863308,False,True,False,False,True
C2967,45.0,Other,69956.22,2025-03-27,P0071,3,196.61,Cash,True,0.11357,10.863308,True,False,False,False,False
C6549,45.0,Male,69956.22,,P0026,10,895.16,Cash,False,0.11357,10.863308,False,False,True,False,False
C6331,45.0,Other,69956.22,,P0064,-5,894.536581030205,Cash,True,0.11357,10.863308,True,False,False,False,True
C3002,45.0,Other,69956.22,2025-04-28,P0074,2,263.87333333333333,Cash,False,0.11357,10.863308,False,True,False,True,False
C5612,45.0,Other,69956.22,2025-01-23,P0076,9,952.9842857142858,Crypto,True,0.11357,10.863308,True,False,False,True,False
C4237,45.0,Other,69956.22,2025-04-21,P0092,6,286.3933333333333,Cash,True,0.11357,10.863308,False,True,False,True,False
C9676,45.0,Male,69956.22,,P0096,9,280.9227803242226,Card,False,0.11357,10.863308,True,False,False,False,True
C4695,45.0,Other,69956.22,,P0098,5,918.58,Card,False,0.11357,10.863308,True,False,False,False,False
C9382,45.0,Female,69956.22,2025-08-15,P0015,-5,371.78,Crypto,True,0.11357,10.863308,False,False,True,False,False
C2254,45.0,Other,69956.22,2025-05-17,P0062,4,832.83,Crypto,False,0.11357,10.863308,False,True,False,False,False
C3572,45.0,Other,69956.22,2025-06-22,P0037,5,711.7225982387805,Cash,False,0.11357,10.863308,False,True,False,False,True
C5974,45.0,Other,69956.22,2025-08-18,P0014,-5,498.02,Online Wallet,True,0.11357,10.863308,False,False,True,True,False
C9419,45.0,Other,69956.22,2025-03-24,P0076,-5,418.57,Card,True,0.11357,10.863308,True,False,False,True,False
C2013,45.0,Female,69956.22,,P0003,-5,716.66,Crypto,False,0.11357,10.863308,False,False,True,False,False
